Название,Артикул,Цена,Описание
Ноутбук Dell XPS,DELL-XPS-001,45000,Мощный ноутбук с процессором Intel i7
Смартфон Samsung Galaxy,SAM-GAL-001,25000,Смартфон с экраном 120Hz
Наушники Sony WH-1000,SONY-WH-001,8000,Беспроводные наушники с шумоподавлением
Монитор LG UltraWide,LG-ULT-001,15000,27 дюймов UltraWide 4K монитор
Клавиатура Corsair Mechanical,CORS-MECH-001,5000,Механическая клавиатура для геймеров
Мышь Razer DeathAdder,RAZER-DA-001,3000,Игровая мышь Razer DeathAdder
Кабель HDMI 2.1,HDMI-21-001,500,HDMI кабель 2 метра
SSD Samsung 970 EVO,SSD-970-001,8000,1TB SSD для быстрого хранилища
Мониторное плечо,MOUNT-ARM-001,2000,Регулируемое монторное плечо
USB Hub 7 портов,USB-HUB-001,1200,USB 3.0 hub на 7 портов
